component_id	boundary_name	implementation_status	may_observe	must_not_observe	retention	export_rule
user_device	User Device	partial	local canonical scope/identity/device/conversation state; plaintext needed for local authoring/render/decryption; local route/network metadata; authorization results	other-tenant state; infrastructure credentials; exportable private keys outside the key-provider boundary; recovery secrets outside an explicit recovery operation	local policy; EPHEMERAL state is non-durable unless explicitly promoted by contract	no implicit central upload; only policy-authorized protocol or purpose-specific diagnostic export
external_app	External App	partial	authorized public-contract fields for the authenticated caller scope; explicit canonical errors; opaque IDs returned by the API	raw database state; other-tenant data; private keys; recovery/authentication secrets; internal replay/routing state; fields lacking permission	application policy subject to UCR contract/data classification	public contract only; no direct database or hidden export path
sdk	SDK	not_implemented	public request/response data; caller-supplied authentication material only transiently when an auth scheme is defined	raw database state; private keys not supplied for an explicit operation; recovery secrets; hidden authorization state; unrelated tenant data	transient by default; SDK caches require an explicit contract and classification	same public contract as External App; SDK cannot add a hidden telemetry or data-export path
ucr_core	UCR Core	implemented	canonical scoped runtime state required for the operation; policy/permission decisions; plaintext before transport encryption or after authorized local decryption; routing candidates	exportable private signing/agreement key bytes; recovery secrets outside recovery operation; product-specific business graph; unrelated tenant state	capability-specific durable/ephemeral policy; persistence is not telemetry	only through explicit storage, transport, public-contract, audit, or purpose-specific diagnostic boundaries
relay	Relay	not_implemented	transport peer/network addresses; relay route/session handle; encrypted payload length and timing; minimal routing/delivery state	plaintext message or attachment content; private/recovery/authentication keys; provider credentials; full social graph or group roster; unrelated canonical state	short-lived routing/abuse window defined by deployment; no content archive	only relay-required routing/abuse evidence; no plaintext or general canonical-state export
bridge	Bridge	not_implemented	configured provider/integration context; target provider identifiers; delivery metadata; content/attachments only when the explicit bridge action and policy require provider-visible content	unrelated tenants/conversations; private/recovery keys; hidden permission grants; full social graph; provider context unrelated to the configured action	minimum provider reconciliation window; provider-visible content follows explicit bridge/provider retention policy	only configured provider action and canonical result/evidence; no general UCR database export
sfu	SFU	not_implemented	media session/stream routing identifiers; network transport tuples; encrypted media packet size/timing; negotiated media-routing context	message plaintext; private/recovery/authentication keys; unrelated conversation history; media plaintext unless an explicitly reviewed media architecture requires it	ephemeral media-routing window plus explicit abuse/audit policy	media routing/health evidence only; no automatic plaintext recording or canonical-history export
personal_node	Personal Node	not_implemented	owner-assigned tenant/scope durable and sync state; network/routing metadata; content only as explicitly selected by the owner deployment	other-tenant state; authority inferred from possession; exportable private keys outside key provider; undisclosed central telemetry	owner-defined local retention constrained by canonical classification and recovery policy	owner-configured sync/backup/diagnostic paths only; no mandatory cloud export
organization_node	Organization Node	not_implemented	explicitly authorized organization tenant/namespace state; sync/routing metadata; audit/security metadata; content only according to organization policy and granted authority	other tenants; authority inferred from node ownership; recovery history not explicitly organization-managed; exportable private keys outside key provider	organization retention policy with tenant isolation and audit controls	authorized organization sync/audit/backup paths only; no cross-tenant or silent historical-content export
cloud_infrastructure	Cloud Infrastructure	not_implemented	hosting/network/resource metadata and only the application metadata permitted to each explicitly deployed child role	extra application visibility merely because infrastructure is cloud-hosted; private/recovery keys unless a separately declared key-provider role requires them; mandatory global identity/social graph	per deployed child role; cloud hosting creates no additional retention entitlement	each hosted child component follows its own contract; native/local Identity and durable state require no cloud account or central export
observability	Observability	not_implemented	component health; bounded counters; timings; sizes; canonical error categories; explicitly approved pseudonymous correlation metadata	plaintext messages; decrypted attachments; recovery secrets; authentication secrets; KEY_MATERIAL; raw endpoint addresses/provider IDs except authorized purpose-specific diagnostics	time-bounded deployment policy; EPHEMERAL by default unless explicitly classified AUDIT	optional local/organization/managed sink; protocol operation never depends on central telemetry upload
